Categeory,asin,Rank,image_url,Rating,Rating Count,Price,Tag,description,Ai_description,Product_title,Keyword
Switches & Dimmers,B00V4VI6SM,11,"https://images-eu.ssl-images-amazon.com/images/I/41MKzcR50oL._AC_UL300_SR300,200_.jpg",4.1,185,189,Best Pick,"Anchor 20 A, 240 V Polycarbonate Roma 1-Way Switch with Neon (White)","{
    ""AI_DESCRIPTION"": ""Anchor 20A, 240V Polycarbonate Roma 1-Way Switch w/ Neon (White)""
}",Anchor Roma 1-Way Switch with Neon 21077,1-Way Switch with Neon
Spanners & Wrenches,B00OD2AEPM,17,"https://images-eu.ssl-images-amazon.com/images/I/71rwVoVgjBL._AC_UL300_SR300,200_.jpg",4.5,3229,275,Best Pick,"Package Contains Hex Key Size: 1.5mm, 2mm, 2.5mm, 3mm ,4mm, 5mm, 5.5mm, 6mm, 8mm, 10mm Usage Type: Home ; Material: Metal ; keys have chamfered edges to give a better fit The allen keys are made of strong steel which with stands a much higher torque It has greater strength, hardness and heat resistance Each and every allen key has a unique hexagonal body shape It has been made in this manner because the head of this keys are attached with a hexagonal nut Limited Life time warranty offered on the product The product is manufactured by Stanley Black & Decker with registered trademark","{
    ""AI_DESCRIPTION"": ""Stanley Black & Decker hex key set with chamfered edges for better fit. Strong steel construction with high torque resistance. Lifetime warranty included.""
}",STANLEY 69-253 10-Piece Metric Hex Key Set with Anti-Rust Properties for Home,10-Piece Hex Key Set for Home
Hex Keys,B00O3YL8I2,25,"https://images-eu.ssl-images-amazon.com/images/I/7192KhPoO5L._AC_UL300_SR300,200_.jpg",4.2,179,309,Best Pick,"Made from chrome vanadium steel Package Contains Hex Key Size: 1/16,5/64, 3/32,1/8, 5/32, 3/16, 7/32,1/4,5/16, 3/8. Anti-corrosion treatment Usage Type: Home ; Material: Metal ; These Stanley Allen keys have chamfered edges to give a better fit and reduce stripped fasteners Limited lifetime warranty offered on the product","{
    ""AI_DESCRIPTION"": ""Stanley Allen keys made from chrome vanadium steel with chamfered edges for better fit. Includes 10 sizes for home use. Limited lifetime warranty.""
}",STANLEY 69-230 10-Piece Key Ring Imperial Allen Hex Key Set ,10-Piece Key Ring Allen Hex Key Set
Yarn,B07G4GDLKR,20,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",4,3087,251,Best Pick,"Material : 100 % Acrylic, Length - 86 M/ 25 Gm. Needle No. 9 (3.75 Mm) Or 10 (3.25). Thickness - 4 Ply, 1 Or Superfine, 1.5 Mm Weight 300 Gm Whole. 25 Gm Each Ball. Easy to use Orignal Product Color May Little Vary Than The Item Picture, Due To Screen Difference.","{
    ""AI_DESCRIPTION"": ""100% Acrylic yarn, 86m length, 4 ply, 300g weight. Easy to use. Color may vary slightly. Professional quality.""
}",M.G Enterprises 12 pc Combo Mix Colours Wool Ball. Hand Knitting Art Craft Soft Fingering Crochet Hook Yarn,12 pc Combo Mix Colours Wool Ball
Spanners & Wrenches,B00ICIKIW2,2,"https://images-eu.ssl-images-amazon.com/images/I/81gkoxPUrYL._AC_UL300_SR300,200_.jpg",4.3,15370,535,Best Pick,"Contains: 12-Piece Combination Spanner Set (6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 19, 22mm) Set of 12 spanners which is made of chrome vanadium steel Coated with nickel Chrome to protect from rust. Ideal for tightening or loosening fastener MaxiDriveTM and anti-slip open ended jaw shape maintains grip on fastener Anti-Corrosion: it is made of chrome vanadium steel & it is coated with Nickel Chrome Anti-slip: This is due to the extra grooving at the tip of the jaws. Spanner set for home & professional use Limited Life time warranty offered on the product The product is manufactured by Stanley Black & Decker with registered trademarks","{
    ""AI_DESCRIPTION"": ""12-Piece Combination Spanner Set made of chrome vanadium steel with anti-slip grip. Ideal for home & professional use. Lifetime warranty included.""
}",STANLEY 70-964E 12-piece Chrome Vanadium Steel Combination Spanner Set with Maxi-Drive System,12-piece Combination Spanner Set
Box Spanners,B00ICIKJCQ,3,"https://images-eu.ssl-images-amazon.com/images/I/71tyBp0QAUL._AC_UL300_SR300,200_.jpg",4.5,1213,1641,Best Pick,"12 spanners:6mx7m,8mx9m,10mx11m,12mx13m,14mx15m,16mx17m,18mx19m,20mx22m,21mx23m,24mx27m,25 mx28m Set of 12-Piece Matte Finish Shallow Offset Ring Spanner Set Coated with nickel Chrome to protect from rust. Ideal for tightening or loosening fasteners MaxiDriveTM and anti-slip open ended jaw shape maintains grip on fastener Anti-Corrosion: it is made of chrome vanadium steel & it is coated with Nickel Chrome Anti-slip: This is due to the extra grooving at the tip of the jaws. Spanner set for home & professional use Limited Life time warranty offered on the product The product is manufactured by Stanley Black & Decker with registered trademarks","{
    ""AI_DESCRIPTION"": ""12-pc Matte Finish Offset Ring Spanner Set by Stanley Black & Decker. Anti-corrosion, anti-slip, ideal for home & pro use. Lifetime warranty.""
}",STANLEY 70-395E 12-piece Matte Finish Chrome Vanadium Steel Shallow Offset BI-HEX Ring Spanner Set with Maxi-Drive System,12-piece Shallow Offset Ring Spanner Set
Alarms,B08B5FQPHL,38,"https://images-eu.ssl-images-amazon.com/images/I/41BhqmVCflL._AC_UL300_SR300,200_.jpg",3.8,122,,Best Pick,MICRO CONTROLLER BASED ELECTRONIC SIREN ADVANCED JAPANESE TECHNOLOGY Latest C-Mos Technology Special Sound Effect at Short pulse STRONG ABS BODY & ADJUSTABLE MOUNTING BRACKET WATER SPRAY PROOF,"{
    ""AI_DESCRIPTION"": ""Micro controller based electronic siren with advanced Japanese technology. Strong ABS body, water spray proof. Easy mounting.""
}",iota SLC122 12V DC -110 dB Police Siren Sound Plastic Security Alarm ,12V DC Police Siren Sound Security Alarm
Hand Tool Kits,B0CM92WVQJ,2,"https://images-eu.ssl-images-amazon.com/images/I/81XkGDFJ28L._AC_UL300_SR300,200_.jpg",4.7,20498,1512,Best Pick,"Comprehensive Tool Set: The Cartman 148-Piece Tool Kit includes all the crucial tools needed for everyday home repairs and maintenance, from cutting to tightening, measuring to hammering. Durable and Corrosion-Resistant: All tools in the kit are heat-treated, ensuring that they resist corrosion and remain durable over time. Convenient Storage: The kit comes in a sturdy and handy blow-molded case, which securely houses each tool in its respective molded slot, making it easy to locate and organize your tools. Quality Guaranteed: All tools in the kit meet or exceed critical standards, ensuring that you get great value for your money. Perfect Gift: This tool set is a great gift idea for housewarming, corporate, and college-bound students. It contains the tools needed for most small repairs around the house, making it an ideal gift for homeowners and DIY enthusiasts.","{
    ""AI_DESCRIPTION"": ""Get all essential tools in one kit for home repairs. Durable, organized, and quality guaranteed. Perfect gift idea!""
}",CARTMAN 148 Piece Tool Set General Hand Tool Kit with Plastic Toolbox Storage Case,148 Piece Tool Set with Plastic Toolbox Storage Case
Router Accessories,B07MHNSXZT,2,"https://images-eu.ssl-images-amazon.com/images/I/81rEWg2o2tL._AC_UL300_SR300,200_.jpg",4.7,4091,5268,Best Pick,Perfect starter and application set with a great router bit assortment for any project<br> A complete selection of router bits for most common applications in one set<br> Fine finish cutting results thanks to quality carbide cutting edges<br> 15 Pcs Straight Bit Set 8mm shank<br>,"{
    ""AI_DESCRIPTION"": ""Perfect starter set with quality carbide cutting edges for fine finish cutting results. Includes 15 Pcs Straight Bit Set 8mm shank.""
}",Bosch Professional 15 Piece Router Bit Set,15 Piece Router Bit Set
Edge Treatment & Grooving Bits,B07MBFVN2Y,29,"https://images-eu.ssl-images-amazon.com/images/I/71qX8YRiMIL._AC_UL300_SR300,200_.jpg",4.7,485,5343.6,Eco Pick,"The Router Bit Set offers fine cuts for a variety of applications, making it the perfect choice for woodworkers such as joiners, carpenters, interior installers and construction workers. The carbide cutting edges of the bits ensure a long lifetime, while routing a variety of profiles in many different materials is possible thanks to the various cutting geometries. Furthermore, they are manufactured according to the safety standards of DIN EN-847. The router bits are intended for use in soft wood, hard wood and wood composites. The Trim and Edging Router Bit Set, 6-Pieces contains edge-working router bits for flush trimming, chamfering, and rounding, and also comes with additional spare parts such as a hex key and two ball bearings. The Router Bit Set features a special Easy-Pick design of the inlay, allowing the bits to be taken out quickly and safely by the shank. It comes in an exclusive and highly robust case that firmly and securely holds bits, offering perfect protection for its contents for safe storage and transport. It features a transparent cover for visibility of the content. The set is available in three versions, either in 6 mm, 8 mm, or 1/4-inch shank diameter, to cover compatibility with all common handheld routers.","{
    ""AI_DESCRIPTION"": ""Router Bit Set for woodworkers, with carbide cutting edges for long lifetime. Includes 6 edge-working bits in a robust case. Available in 3 shank diameters.""
}",Bosch Professional 15 Pcs Router Bit Set With Mixed Bits,15 Piece Router Bit Set
