Keyword,Category,Asin,Rank,Rating,Rating Count,Price,Description,Ai_description,Tag,Image_url,Product_title
4-Cup Coffee Maker,Semi-Automatic Espresso Machines,B0B12TQK3J,1,3.9,450,3995,"Brew hot coffee in minutes: Want to drink delicious and hot coffee within minutes? Inalsa Bonjour is here. With 800W of power, this coffee machine helps you brew your perfect cup every single time. Say goodbye to long waits!! 3 in 1 coffee maker: Endless possibilities with this coffee maker. With multi-purpose control knob, make cappuccino, espresso or latte as per your convenience. Easy one-go knob for all your different tastes. High pressure steam bar: This coffee machine gives maximum froths, thanks to its high-pressure steam bar. Bonjour releases steam upto 4 Bar. Highlights of the coffee maker: Removable drip tray that gets separated easily & is convenient to use. Power Indicator light that indicates the coffee maker has been switched on. Excellent for large groups - The 4-cup capacity makes it perfect for large family gatherings. Bonjour comes with fine quality borosilicate glass jar. Harder and tougher than any other glass. Just what you need for everyday use.","Brew hot coffee in minutes with Inalsa Bonjour. 3-in-1 coffee maker for cappuccino, espresso, and latte. High-pressure steam bar for maximum froths. Removable drip tray and power indicator light. Perfect for large groups. Fine quality borosilicate glass jar.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",INALSA Espresso/Cappuccino 4Cup Coffee Maker 800W- Bonjour 
4-Cup Coffee Maker,Espresso Machines,B0B12TQK3J,2,3.9,450,3995,"Brew hot coffee in minutes: Want to drink delicious and hot coffee within minutes? Inalsa Bonjour is here. With 800W of power, this coffee machine helps you brew your perfect cup every single time. Say goodbye to long waits!! 3 in 1 coffee maker: Endless possibilities with this coffee maker. With multi-purpose control knob, make cappuccino, espresso or latte as per your convenience. Easy one-go knob for all your different tastes. High pressure steam bar: This coffee machine gives maximum froths, thanks to its high-pressure steam bar. Bonjour releases steam upto 4 Bar. Highlights of the coffee maker: Removable drip tray that gets separated easily & is convenient to use. Power Indicator light that indicates the coffee maker has been switched on. Excellent for large groups - The 4-cup capacity makes it perfect for large family gatherings. Bonjour comes with fine quality borosilicate glass jar. Harder and tougher than any other glass. Just what you need for everyday use.","Brew hot coffee in minutes with Inalsa Bonjour. 3-in-1 coffee maker for cappuccino, espresso, and latte. High-pressure steam bar for maximum froths. Removable drip tray and power indicator light. Perfect for large groups. Fine quality borosilicate glass jar.""
",,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",INALSA Espresso/Cappuccino 4Cup Coffee Maker 800W- Bonjour 
Adhesive Wall Hooks,Home & Kitchen,B08X2R1HM5,4,4,11588,199,"The Adhesive Wall Nails Are Made Of Stainless Steel, Abs, Pvc And Glue. This Nail Hooks Adhesive Hooks For Wall Heavy Duty. You Can Wall Decor Photo Frame , Clock. These Wall Screws For Hanging Are Suitable For Glass, Tile, Metal, Wood, Not For Painted Wall. It May Peel The Paint Off The Wall. Wall Hangings For Home Decoration For This Nail Hook. Easy To Install : Wipe Up The Suiface, Peel Off The Film On The Back, Then Press Adhesive Screws On Smooth Surface For Minutes. Wall Decoration Items For Living Room And Bedroom. Simple Application And Removal: Clean The Wall, Press The Hook Firmly For 30 Sec. Wait 12 Hours Before Hanging. For Long-term Adhesion, Use A Hairdryer To Dissolve Glue For Easy, Traceless Removal. Jialto Guarantee : We're Confident Our Wall Hooks Will Meet Your Needs. If Not, Our Team Is Reach 24-hour Support Service Is Here To Assist You Promptly.","Stainless steel adhesive wall nails for heavy-duty hanging. Suitable for various surfaces. Easy installation and removal. Jialto guarantee and 24-hour support.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",JIALTO Adhesive Hooks Heavy Duty Wall Hooks
Adhesive Wall Hooks for Hanging Photo Frames,Home & Kitchen,B0CCM8L54V,14,3.6,3731,274,"PROUDLY MADE IN INDIA: The Zulaxy heavy quality Strong nail hook is proudly Made in India. The Zulaxy wall nail hooks has 33% more adhesion, so it is strong and lasts long. STRONG & VERSATILE: Heavy duty hooks can hold up to 10 KG on smooth surface. These adhesive hooks can be used variously: coat hooks, key hooks, bathroom towel hooks. WATERPROOF AND RUSTPROOF: The Zulaxy adhesive hooks are built sturdy enough to hold college student backpacks. The heavy-duty hooks and durable stainless steel construction of non-magnetic metal are corrosion-free, meaning it will last bathroom without rusting. EASY TO USE: Wall hangers easily to clean and paste without surface damage, no need to nail and drill the wall, can be utilized repeatedly after cleaning and dry. USE IT ANYWHERE: Widely used on a variety of surfaces, like Wood, Tile, Ceramic, Metal, Plastic Surface and more, especially great for for bathroom, kitchen, wall decor hooks, shower hooks indoor and outdoor hooks, towel hooks.","Strong & versatile adhesive hooks for various uses. Proudly made in India with 33% more adhesion. Waterproof, rustproof, and easy to use. Use it anywhere on different surfaces. Holds up to 10 KG. Perfect for bathroom, kitchen, and wall decor hooks.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Zulaxy Photo Frame Hooks for Wall Without Drilling
Adjustable Microfiber Sleeping Pillow,Home & Kitchen,B07L6GZYDV,11,4.3,68157,749,"Pillow Feel : Fluffy and medium firm Warranty : 3 Months manufacturer warranty Fabric Material Type : 300 ± 10% GSM breathable fabric Fill : 200 GSM Hollow fiber, extra 300gm fibre fill Pillow Dimensions : 27 x 16 inches ( 68.5 cm x 40.5 cm)",Fluffy and medium firm pillow with 3 months warranty. Made with 300 GSM breathable fabric and 200 GSM hollow fiber fill. Dimensions,Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Wakefit Microfiber Height Adjustable Hollow Fibre Sleeping Pillow With Zip 
All-in-One Espresso Maker,Espresso Machines,B0BR7BXL5X,5,3.5,112,32990,"20Bars High Pressure With 1450 220-240V Watts Provide Fast And Stable Extraction Makes Espresso More Fragrant And Rich In Cream Makes Espresso, Latte And Cappuccino Along With Milk Frothing 1 Year Warranty Intelligent Temperature Control Heats Up The Water At The Right Temperature Ensuring Optimal Espresso Extraction, 360°Rotating Stainless Steel Frothing Wand Is More Convenient To Use The Powerful Steam Wand Performance Allows You To Hand Texture Foam Milk That Enhances Flavour And Enables Creation Of Latte Art Integrated Precision Conical Burr Grinder Grinds With 30 Grind Settings To Meet Different Demands To Deliver The Right Amount Of Freshly Ground Coffee Directly Into The Porta Filter For Your Preferred Taste With Any Roast Of Bean Note: Not For Commercial Use 2.8L Of Water Tank, Stainless Steel Body Roasted Bean Jar Of 250 Gms Allows To Get Grinded Coffee Enough For Up To 30 Cups Of Single Shot Espresso Coffee","High pressure espresso machine with intelligent temperature control and integrated grinder. Makes fragrant and rich espresso, latte, and cappuccino. 1 year warranty.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",AGARO Supreme Espresso Coffee Maker With Grinder
Aluminium Appachetty with Lid,Paella Pans,B07JBWKFSY,1,3.9,176,1229,"Enjoy hot and so Appams, Pancakes, Malpua, Palada and Crepes at home in this beauful, elegant appachetty Made from pure grade aluminium that helps in even heat distribution Color: Crimson, Material: Aluminium Package Contents: 1 Appachetty, 1 Lid Warranty: 2 Year","Enjoy hot and delicious Appams, Pancakes, Malpua, Palada, and Crepes at home with this beautiful appachetty. Made from pure grade aluminium for even heat distribution. Crimson color. Includes 1 appachetty and 1 lid. 2-year warranty.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Wonderchef Aluminium Appachetty with Lid
Aluminium Deep Cooking Kadhai,Woks,B0BTWR1QN3,29,3.6,124,399,"Tannu Craft High quality food grade aluminum with Blister Finish luminium With Out Side Blister Finish Unbreakable Aluminium handle with spoon friendly & extremely durable body Dishwasher Safe Hand Wash Safe Aluminium Heavy Base Casting Hindalium Kadai with Handle Aluminium Kadai for Multipurpose Sturdy Handle Ideal for cooking Excellent quality, easy to clean,Conducts heat fast and evenly","High quality food grade aluminum with blister finish. Unbreakable handle with spoon friendly & extremely durable body. Dishwasher safe. Ideal for cooking.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Tannu Craft Aluminium kadhai Premium Range of Aluminum Kadhai Deep Kadai 
Aluminium Inner Lid Pressure Cooker,Pots & Pans,B00NRT7ZUO,22,4.2,19737,1508,Ideal for 3 or 4 Persons Curved body for easy stirring Better visibility of food Easier removal of food Inside-fitting safety lid − will not open until pressure falls,"Perfect for 3-4 people. Curved body for easy stirring. Better visibility of food. Easier removal of food. Safety lid won't open until pressure falls.""
",,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Hawkins Contura 3L Aluminium Inner Lid Pressure Cooker 
Aluminium Inner Lid Pressure Cooker,Cookware,B00NRT7ZUO,22,4.2,19737,1508,Ideal for 3 or 4 Persons Curved body for easy stirring Better visibility of food Easier removal of food Inside-fitting safety lid − will not open until pressure falls,"Perfect for 3-4 people. Curved body for easy stirring. Better visibility of food. Easier removal of food. Safety lid won't open until pressure falls.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Hawkins Contura 3L Aluminium Inner Lid Pressure Cooker 
