Category,asin,Rank,Product Name,Rating,Rating Count,Price,tag
Semi-Automatic Espresso Machines,B0B12TQK3J,1.0,"INALSA Espresso/Cappuccino 4Cup Coffee Maker 800W- Bonjour (3in1- Espresso,Cappuccino & Latte)|Frothing Function,4Bar Pressure|Multipurpose Control Knob,Removable Drip Tray & Borosilicate Glass Carafe",3.9,450.0,3995.0,4-Cup Coffee Maker
Espresso Machines,B0B12TQK3J,2.0,"INALSA Espresso/Cappuccino 4Cup Coffee Maker 800W- Bonjour (3in1- Espresso,Cappuccino & Latte)|Frothing Function,4Bar Pressure|Multipurpose Control Knob,Removable Drip Tray & Borosilicate Glass Carafe",3.9,450.0,3995.0,4-Cup Coffee Maker
Home & Kitchen,B08X2R1HM5,4.0,"JIALTO Adhesive Hooks Heavy Duty Wall Hooks, Nail Hook for Hanging Coat, Hat,Towel Robe Hook Rack Wall Mount- Bathroom and Bedroom Hooks for Wall Without Drilling (Nail Hook Trasparent 10 Pack)",4.0,11588.0,199.0,Adhesive Wall Hooks
Home & Kitchen,B0CCM8L54V,14.0,"Zulaxy Photo Frame Hooks for Wall Without Drilling, 10 Pack Self Adhesive Hooks for Wall Heavy Duty Strong Nail Free for Hanging Photo Frame (Hanging Hook, Transparent) Stainless Steel",3.6,3731.0,274.0,Adhesive Wall Hooks for Hanging Photo Frames
Home & Kitchen,B07L6GZYDV,11.0,"Wakefit Microfiber Height Adjustable Hollow Fibre Sleeping Pillow With Zip | Set of 2 (White And Grey,  27 X 16 Inches)",4.3,68157.0,749.0,Adjustable Microfiber Sleeping Pillow
Espresso Machines,B0BR7BXL5X,5.0,"AGARO Supreme Espresso Coffee Maker With Grinder, 20 Bars Semi Automatic, Dual Heating System, Steam Wand And Adjustable Milk Frothing, All in One Espresso, Cappuccino, Steam Espresso Maker",3.5,112.0,32990.0,All-in-One Espresso Maker
Paella Pans,B07JBWKFSY,1.0,"Wonderchef Aluminium Appachetty with Lid, 20cm, Crimson",3.9,176.0,1229.0,Aluminium Appachetty with Lid
Woks,B0BTWR1QN3,29.0,Tannu Craft Aluminium kadhai Premium Range of Aluminum Kadhai Deep Kadai | Non Induction Kadai | Non Stick Kadai | Deep Cooking (2 Litter),3.6,124.0,399.0,Aluminium Deep Cooking Kadhai
Pots & Pans,B00NRT7ZUO,22.0,Hawkins Contura 3L Aluminium Inner Lid Pressure Cooker (Silver),4.2,19737.0,1508.0,Aluminium Inner Lid Pressure Cooker
Cookware,B00NRT7ZUO,22.0,Hawkins Contura 3L Aluminium Inner Lid Pressure Cooker (Silver),4.2,19737.0,1508.0,Aluminium Inner Lid Pressure Cooker
Pots & Pans,B00SX2YZNK,29.0,"Hawkins Classic 1.5L Aluminium Inner Lid Pressure Cooker, Silver",4.2,19038.0,1078.0,Aluminium Inner Lid Pressure Cooker
Cookware,B00SX2YZNK,30.0,"Hawkins Classic 1.5L Aluminium Inner Lid Pressure Cooker, Silver",4.2,19038.0,1078.0,Aluminium Inner Lid Pressure Cooker
