Category,asin,Rank,Product Name,Rating,Rating Count,Price,tag,Short Name
Semi-Automatic Espresso Machines,B0B12TQK3J,1,"INALSA Espresso/Cappuccino 4Cup Coffee Maker 800W- Bonjour (3in1- Espresso,Cappuccino & Latte)|Frothing Function,4Bar Pressure|Multipurpose Control Knob,Removable Drip Tray & Borosilicate Glass Carafe",3.9,450,3995,4-Cup Coffee Maker,INALSA Espresso
Espresso Machines,B0B12TQK3J,2,"INALSA Espresso/Cappuccino 4Cup Coffee Maker 800W- Bonjour (3in1- Espresso,Cappuccino & Latte)|Frothing Function,4Bar Pressure|Multipurpose Control Knob,Removable Drip Tray & Borosilicate Glass Carafe",3.9,450,3995,4-Cup Coffee Maker,INALSA Espresso
Home & Kitchen,B08X2R1HM5,4,"JIALTO Adhesive Hooks Heavy Duty Wall Hooks, Nail Hook for Hanging Coat, Hat,Towel Robe Hook Rack Wall Mount- Bathroom and Bedroom Hooks for Wall Without Drilling (Nail Hook Trasparent 10 Pack)",4,11588,199,Adhesive Wall Hooks,JIALTO Adhesive Hooks Heavy Duty Wall Hooks
Home & Kitchen,B0CCM8L54V,14,"Zulaxy Photo Frame Hooks for Wall Without Drilling, 10 Pack Self Adhesive Hooks for Wall Heavy Duty Strong Nail Free for Hanging Photo Frame (Hanging Hook, Transparent) Stainless Steel",3.6,3731,274,Adhesive Wall Hooks for Hanging Photo Frames,Zulaxy Photo Frame Hooks for Wall Without Drilling
Home & Kitchen,B07L6GZYDV,11,"Wakefit Microfiber Height Adjustable Hollow Fibre Sleeping Pillow With Zip | Set of 2 (White And Grey,  27 X 16 Inches)",4.3,68157,749,Adjustable Microfiber Sleeping Pillow,Wakefit Microfiber Height Adjustable Hollow Fibre Sleeping Pillow With Zip 
Espresso Machines,B0BR7BXL5X,5,"AGARO Supreme Espresso Coffee Maker With Grinder, 20 Bars Semi Automatic, Dual Heating System, Steam Wand And Adjustable Milk Frothing, All in One Espresso, Cappuccino, Steam Espresso Maker",3.5,112,32990,All-in-One Espresso Maker,AGARO Supreme Espresso Coffee Maker With Grinder
Paella Pans,B07JBWKFSY,1,"Wonderchef Aluminium Appachetty with Lid, 20cm, Crimson",3.9,176,1229,Aluminium Appachetty with Lid,Wonderchef Aluminium Appachetty with Lid
Woks,B0BTWR1QN3,29,Tannu Craft Aluminium kadhai Premium Range of Aluminum Kadhai Deep Kadai | Non Induction Kadai | Non Stick Kadai | Deep Cooking (2 Litter),3.6,124,399,Aluminium Deep Cooking Kadhai,Tannu Craft Aluminium kadhai Premium Range of Aluminum Kadhai Deep Kadai 
Pots & Pans,B00NRT7ZUO,22,Hawkins Contura 3L Aluminium Inner Lid Pressure Cooker (Silver),4.2,19737,1508,Aluminium Inner Lid Pressure Cooker,Hawkins Contura 3L Aluminium Inner Lid Pressure Cooker 
Cookware,B00NRT7ZUO,22,Hawkins Contura 3L Aluminium Inner Lid Pressure Cooker (Silver),4.2,19737,1508,Aluminium Inner Lid Pressure Cooker,Hawkins Contura 3L Aluminium Inner Lid Pressure Cooker 
Pots & Pans,B00SX2YZNK,29,"Hawkins Classic 1.5L Aluminium Inner Lid Pressure Cooker, Silver",4.2,19038,1078,Aluminium Inner Lid Pressure Cooker,Hawkins Classic 1.5L Aluminium Inner Lid Pressure Cooker
Cookware,B00SX2YZNK,30,"Hawkins Classic 1.5L Aluminium Inner Lid Pressure Cooker, Silver",4.2,19038,1078,Aluminium Inner Lid Pressure Cooker,Hawkins Classic 1.5L Aluminium Inner Lid Pressure Cooker
Kadhai & Woks,B015SQQ1CG,19,"HAZEL 4 mm Aluminium Kadai with Handle, 750 ml, Silver.",4,1095,609,Aluminium Kadai with Handle,HAZEL 4 mm Aluminium Kadai with Handle
Stir-Fry Pans,B015SQQ1CG,23,"HAZEL 4 mm Aluminium Kadai with Handle, 750 ml, Silver.",4,1095,609,Aluminium Kadai with Handle,HAZEL 4 mm Aluminium Kadai with Handle
Woks,B097YMM5GG,18,Redific Aluminium Kadhai Kadai with Handle for Kitchen | Deep Frying Kadai (Size:2.5 litres and 4 litres) (Material: Aluminium Kadhai)(Item: Kadhai/Kadai)(Color: Silver) Combo Pack of 2,3.6,154,799,Aluminium Kitchen Kadhai Combo Pack,Redific Aluminium Kadhai Kadai with Handle for Kitchen 
Pots & Pans,B00TE7QY7S,23,Pigeon By Stovekraft Favourite Aluminium Pressure Cooker with Outer Lid Induction and Gas Stove Compatible 5 Litre Capacity for Healthy Cooking (Silver),4,17411,1039,Aluminium Pressure Cooker,Pigeon By Stovekraft Favourite Aluminium Pressure Cooker with Outer Lid Induction and Gas Stove Compatible 5 Litre Capacity for Healthy Cooking 
Cookware,B00TE7QY7S,23,Pigeon By Stovekraft Favourite Aluminium Pressure Cooker with Outer Lid Induction and Gas Stove Compatible 5 Litre Capacity for Healthy Cooking (Silver),4,17411,1039,Aluminium Pressure Cooker,Pigeon By Stovekraft Favourite Aluminium Pressure Cooker with Outer Lid Induction and Gas Stove Compatible 5 Litre Capacity for Healthy Cooking 
